sysclk=60.000000 MHz, vco=1440 MHz, fbdiv=120, pd1=6, pd2=4
sysclk=60.000000 MHz, vco=1500 MHz, fbdiv=125, pd1=5, pd2=5
sysclk=60.480000 MHz, vco=1512 MHz, fbdiv=126, pd1=5, pd2=5
sysclk=60.500000 MHz, vco=1452 MHz, fbdiv=121, pd1=6, pd2=4
sysclk=60.571429 MHz, vco=1272 MHz, fbdiv=106, pd1=7, pd2=3
sysclk=60.600000 MHz, vco=1212 MHz, fbdiv=101, pd1=5, pd2=4
sysclk=60.666667 MHz, vco=1092 MHz, fbdiv=91, pd1=6, pd2=3
sysclk=60.750000 MHz, vco=972 MHz, fbdiv=81, pd1=4, pd2=4
sysclk=60.800000 MHz, vco=912 MHz, fbdiv=76, pd1=5, pd2=3
sysclk=60.857143 MHz, vco=852 MHz, fbdiv=71, pd1=7, pd2=2
sysclk=60.960000 MHz, vco=1524 MHz, fbdiv=127, pd1=5, pd2=5
sysclk=61.000000 MHz, vco=732 MHz, fbdiv=61, pd1=6, pd2=2
sysclk=61.000000 MHz, vco=732 MHz, fbdiv=61, pd1=4, pd2=3
sysclk=61.000000 MHz, vco=1464 MHz, fbdiv=122, pd1=6, pd2=4
sysclk=61.142857 MHz, vco=1284 MHz, fbdiv=107, pd1=7, pd2=3
sysclk=61.200000 MHz, vco=612 MHz, fbdiv=51, pd1=5, pd2=2
sysclk=61.200000 MHz, vco=1224 MHz, fbdiv=102, pd1=5, pd2=4
sysclk=61.333333 MHz, vco=552 MHz, fbdiv=46, pd1=3, pd2=3
sysclk=61.333333 MHz, vco=1104 MHz, fbdiv=92, pd1=6, pd2=3
sysclk=61.440000 MHz, vco=1536 MHz, fbdiv=128, pd1=5, pd2=5
sysclk=61.500000 MHz, vco=492 MHz, fbdiv=41, pd1=4, pd2=2
sysclk=61.500000 MHz, vco=984 MHz, fbdiv=82, pd1=4, pd2=4
sysclk=61.500000 MHz, vco=1476 MHz, fbdiv=123, pd1=6, pd2=4
sysclk=61.600000 MHz, vco=924 MHz, fbdiv=77, pd1=5, pd2=3
sysclk=61.714286 MHz, vco=432 MHz, fbdiv=36, pd1=7, pd2=1
sysclk=61.714286 MHz, vco=864 MHz, fbdiv=72, pd1=7, pd2=2
sysclk=61.714286 MHz, vco=1296 MHz, fbdiv=108, pd1=7, pd2=3
sysclk=61.800000 MHz, vco=1236 MHz, fbdiv=103, pd1=5, pd2=4
sysclk=61.920000 MHz, vco=1548 MHz, fbdiv=129, pd1=5, pd2=5
sysclk=62.000000 MHz, vco=744 MHz, fbdiv=62, pd1=6, pd2=2
